,message,timestamp,username,m_length,datetime
32,"
@jdevivaraprasadreddy7 has joined the channel
",06/22/2019 1:52 a.m.,jdevivaraprasadreddy7,47,2019-06-22 01:52:00
33,"
@yemissi.kifouly has joined the channel
",06/22/2019 1:53 a.m.,yemissi.kifouly,41,2019-06-22 01:53:00
34,"
@carlo12david has joined the channel
",06/22/2019 1:53 a.m.,carlo12david,38,2019-06-22 01:53:00
35,"
@mohdnaushad.12-cse-16 has joined the channel
",06/22/2019 1:53 a.m.,mohdnaushad.12-cse-16,47,2019-06-22 01:53:00
36,"
HI @abhinav.raj116 The idea of 60 days of Udacity is to post the progress of your learning every day for 60 days.  (Something like 100 days of code) Details will be announced soon.   Hope this helps!
",06/22/2019 1:53 a.m.,ltruncel,201,2019-06-22 01:53:00
37,"
Whoa. The start of the beautiful journey
 
Keep an eye on the announcement 
",06/22/2019 1:56 a.m.,sajjadmanal24,77,2019-06-22 01:56:00
38,"
Super Excited for this Learning Venture! 
",06/22/2019 2:05 a.m.,aisha.jv70,43,2019-06-22 02:05:00
39,"
Coming soon....
",06/22/2019 2:15 a.m.,learn556,17,2019-06-22 02:15:00
40,"
https://www.youtube.com/watch?v=dU1xS07N-FA
",06/22/2019 2:15 a.m.,ravikantsingh2308,45,2019-06-22 02:15:00
41,"
@akshit It would be really helpful for of us if we can be just briefed upon the purpose of this channel , I mean what kind of progress exactly should be shared here?
",06/22/2019 2:19 a.m.,aisha.jv70,167,2019-06-22 02:19:00
42,"
I share your concern @aisha.jv70
",06/22/2019 2:23 a.m.,arturfreitas999,34,2019-06-22 02:23:00
43,"
The details would be shared soon
",06/22/2019 2:37 a.m.,ishgirwan,34,2019-06-22 02:37:00
44,"
Hello how are you! 
",06/22/2019 2:39 a.m.,calincan2000,21,2019-06-22 02:39:00
45,"
When will they publish details about the project?
",06/22/2019 2:40 a.m.,riday467366,51,2019-06-22 02:40:00
46,"
I can hear a drum roll before the start  :drum_with_drumsticks:
",06/22/2019 2:44 a.m.,ageev_alex,65,2019-06-22 02:44:00
47,"
@ishgirwan Great!
",06/22/2019 2:45 a.m.,aisha.jv70,19,2019-06-22 02:45:00
48,"
@ltruncel Thanks for the explanation.
",06/22/2019 4:57 a.m.,prateek.sawhney97,39,2019-06-22 04:57:00
49,"
No problem @prateek.sawhney97 ! Announcement is coming soon. We’ll find out more about it then.
",06/22/2019 5:15 a.m.,ltruncel,97,2019-06-22 05:15:00
50,"
@aisha.jv70! The projects you work upon, like a log in github! The code which you make for a project ( should be related to DL) should be coded in a streak for 60 days!
It should be posted in social media platform either LinkedIn or twitter or private fb group!
This is based on my concern!
Anyway let's wait for @akshit official announcement !
",06/22/2019 6:55 a.m.,thiyagarajanravi22,346,2019-06-22 06:55:00
51,"
@thiyagarajanravi22 why to put in social media.It would be much better if they just keep the log of GitHub. In that way it would be more honest and more convenient .
 
I guess, it is a way to show commitment to your personal projects
",06/22/2019 7:08 a.m.,161210032,235,2019-06-22 07:08:00
52,"
I thought I was the only one hearing that!  :drum_with_drumsticks:
",06/22/2019 7:34 a.m.,eazydammy,68,2019-06-22 07:34:00
53,"

",06/22/2019 7:36 a.m.,bttrung.work,2,2019-06-22 07:36:00
54,"
Yes I am not sure @161210032 ! Let's wait for official announcement! 
",06/22/2019 8:08 a.m.,thiyagarajanravi22,71,2019-06-22 08:08:00
55,"
  days of  :udacity:
",06/22/2019 8:31 a.m.,sainathcodes,22,2019-06-22 08:31:00
56,"
:bananadance::pytorch:
 
:bananadance::pytorch:
",06/22/2019 9:07 a.m.,michael092001,49,2019-06-22 09:07:00
57,"
Amazing, will keep us Udacious
",06/22/2019 9:35 a.m.,ar5saikia,32,2019-06-22 09:35:00
58,"
adding to what @thiyagarajanravi22 said.  It’s a great way to keep yourself motivated and to participate in the community. It's makes you feel like committed which increase the likelihood of your success
",06/22/2019 9:57 a.m.,dharmaraj.techie,205,2019-06-22 09:57:00
59,"
@thiyagarajanravi22 sounds good! Thanks for providing all the info!
",06/22/2019 10:41 a.m.,aisha.jv70,69,2019-06-22 10:41:00
60,"
Any speculation of what's going on in here #60daysofudacity ?
Get your wild guesses going...
",06/22/2019 11:15 a.m.,sainathcodes,94,2019-06-22 11:15:00
61,"
Thanks.
",06/22/2019 1:13 p.m.,abhinav.raj116,9,2019-06-22 13:13:00
62,"
Has anyone done a 100 days or code or the 60 days of Udacity that would mind to share its personal experience? I still can’t get the hype of it, hehe.
",06/22/2019 1:44 p.m.,ragnagus,152,2019-06-22 13:44:00
63,"
@ragnagus this is the first time for #60daysofudacity. We have to wait for Akshit to explain to us how it works
",06/22/2019 1:55 p.m.,garg4.ag,113,2019-06-22 13:55:00
64,"
@xanderfomenko set the channel purpose: :thinking_face:
",06/22/2019 2:08 p.m.,xanderfomenko,57,2019-06-22 14:08:00
65,"
For Nanodegrees students (paid subscription), in #60daysofudacity students share their course progress daily.
Check the last paragraphhttps://udacity.zendesk.com/hc/en-us/articles/360024005951-What-programs-will-be-available-to-me-Please note that students that enroll into a ND between February 26, 2019 and April 8, 2019 will experience our updated mentor support model. This section will only apply to those enrolled between ...
",06/22/2019 2:27 p.m.,marwa.qabeel138,433,2019-06-22 14:27:00
66,"
@marwa.qabeel138 thank you for the information and for taking the time of searching it 
",06/22/2019 2:34 p.m.,ragnagus,89,2019-06-22 14:34:00
67,"
@marwa.qabeel138 you just posted the answer a few moments earlier than me 
",06/22/2019 2:43 p.m.,harshris2314,76,2019-06-22 14:43:00
68,"
<h1>hi</h1>
",06/22/2019 3:41 p.m.,fridarode00,13,2019-06-22 15:41:00
69,"
Probably something close of 100 days of ml code.
",06/22/2019 3:43 p.m.,taz.taimur,50,2019-06-22 15:43:00
70,"
Didn't know this has already started?
",06/22/2019 3:49 p.m.,atarunn11,39,2019-06-22 15:49:00
71,"
it hasnt yet..only the channel has been created
 
official announcement yet to come
",06/22/2019 3:52 p.m.,gogulaanand02,85,2019-06-22 15:52:00
72,"
Ah cool then!
",06/22/2019 3:58 p.m.,atarunn11,15,2019-06-22 15:58:00
73,"
Will we get any kind of 'Everyday task' ?
",06/22/2019 4:55 p.m.,joybanerjee08,43,2019-06-22 16:55:00
74,"
Now you have to post what you did that Day Yourself
I think the motive is that set deadline for you everyday and on completion you have to post it here
",06/22/2019 4:59 p.m.,garg4.ag,153,2019-06-22 16:59:00
75,"
or #hi in Markdown
",06/22/2019 5:04 p.m.,myidispg,20,2019-06-22 17:04:00
76,"
I think only the channel was created 
",06/22/2019 5:04 p.m.,ramonasrbecky,39,2019-06-22 17:04:00
77,"
Day_1 = done
",06/22/2019 5:52 p.m.,fridarode00,14,2019-06-22 17:52:00
78,"
Yes, That's true that you need needed to set a deadline and do complete each and every task on the day and past it here!
 
Comming Soon....................
",06/22/2019 6:09 p.m.,vipul.captureart,157,2019-06-22 18:09:00
79,"
While there is good academic reason for this, I think some of the hype is because of easy participation.  
",06/22/2019 6:37 p.m.,sfmajors373,108,2019-06-22 18:37:00
80,"
@fridarode00 Not yet started.  Have patience.
",06/22/2019 6:37 p.m.,sajjadmanal24,47,2019-06-22 18:37:00
81,"
Yeah @sfmajors373
",06/22/2019 6:53 p.m.,garg4.ag,19,2019-06-22 18:53:00
82,"
YAY! I have done my Lesson 1 #l2_intro_diff_privacy where I get a chance to meet Andrew on video. Through meeting with Andrew, I have learned more about data privacy and security.
Here's a summary of lesson 1:
Data Privacy has been a very important concern for government and companies these days. When doing AI in the real world you'll find that most datasets are siloed with large enterprises for two reasons:
1) First enterprises have a legal risk which prevents them from wanting their dataset outside their organization.
2)  Enterprises have a competitive advantage to hang onto large datasets collected from their customers.
Now, Scientist like ""Andrew"" are often extremely constrained in terms of the amount of data they have access to solve their problems.
This means that some of the most important and personal issues in society simply cannot be addressed with machine learning, because we do not have access to the proper training data. But by learning how to do machine learning that protects privacy, we can make a huge difference in humanity's ability to make progress, curing disease and who we are through our data. #60daysofudacity
",06/22/2019 6:54 p.m.,vipul.captureart,1150,2019-06-22 18:54:00
83,"
Good going. Hope you don’t break your saga. Btw, FYI, it hasn’t started yet. Only group has been made.
",06/22/2019 6:58 p.m.,sajjadmanal24,104,2019-06-22 18:58:00
84,"
@sfmajors373 Indeed. Nothing better than easy excuses to spam, I guess 
",06/22/2019 7:16 p.m.,ragnagus,73,2019-06-22 19:16:00
85,"
Thanks, @sajjadmanal24
",06/22/2019 7:16 p.m.,vipul.captureart,24,2019-06-22 19:16:00
86,"
I think we will just be writing what we did every day with like #Day1 today I did X Y Z here is my github code etc
",06/22/2019 7:37 p.m.,michael092001,116,2019-06-22 19:37:00
87,"
:shushing_face: @vipul.captureart let's not spoil it let's wait until it really starts
",06/22/2019 10:32 p.m.,harshris2314,88,2019-06-22 22:32:00
88,"
Yeah hooo.................... 60daysofudacity is coming
",06/22/2019 10:36 p.m.,tmallikarjuna111,57,2019-06-22 22:36:00
89,"
:keyboard:
",06/22/2019 10:46 p.m.,fridarode00,12,2019-06-22 22:46:00
90,"
Coming
",06/22/2019 10:53 p.m.,dheerajmitra17,8,2019-06-22 22:53:00
91,"
@krisastern has joined the channel
",06/22/2019 11:15 p.m.,krisastern,36,2019-06-22 23:15:00
92,"
looking forward to additional details :penguin_dance: #60daysofudacity
",06/22/2019 11:51 p.m.,elena.kutanov,72,2019-06-22 23:51:00
93,"
can wait guys
",06/22/2019 11:55 p.m.,abimbolaolayemi17,15,2019-06-22 23:55:00
94,"
It's a kind of 100 days of code I think where you can post your daily progress!
",06/23/2019 7:52 a.m.,divyanshufs01,81,2019-06-23 07:52:00
95,"
Probably put links to our code on this channel not the whole code. 
",06/23/2019 9:49 a.m.,fridarode00,69,2019-06-23 09:49:00
96,"
I agree- it's most likely that we'll post links rather than the actual code!
",06/23/2019 9:59 a.m.,learn556,78,2019-06-23 09:59:00
97,"
I don't even know how this initiative works
",06/23/2019 10:18 a.m.,ziad.esam.ezat,45,2019-06-23 10:18:00
98,"
We will find out. Possibly today...
 
Definitely by ama_session tomorrow.
",06/23/2019 10:29 a.m.,fridarode00,75,2019-06-23 10:29:00
99,"
Yup @fridarode00, agreed
",06/23/2019 11:08 a.m.,krisastern,26,2019-06-23 11:08:00
100,"
@krisastern  I hope the expected code is not too advanced.
",06/23/2019 11:09 a.m.,fridarode00,60,2019-06-23 11:09:00
101,"
Yeah @fridarode00 I am kind of worried about that myself too
",06/23/2019 11:10 a.m.,krisastern,62,2019-06-23 11:10:00
102,"
You know @krisastern there is a range=[beginner:advanced:nanodegree'rs] so I believe @akshit  will make the appropriate accommodations for everyone to fairly participate.
",06/23/2019 11:17 a.m.,fridarode00,172,2019-06-23 11:17:00
103,"
Thanks @fridarode00
",06/23/2019 11:21 a.m.,krisastern,21,2019-06-23 11:21:00
104,"
:peace_symbol: @krisastern
 
Here it is check this out graphs at the end *https://www.kaggle.com/jagangupta/stop-the-s-toxic-comments-eda 2/3 way down too
 
maybe a third of the way down the page above
",06/23/2019 11:26 a.m.,fridarode00,203,2019-06-23 11:26:00
105,"
@fridarode00@krisastern look at this to get a better picture of how its done  https://twitter.com/_100DaysOfCodeThe latest Tweets from 100daysofCode (@_100DaysOfCode). Official #100DaysOfCode & help developers participating to come closer. Part of @FreeCodeCamp | Founded by @ka11away | Written in #JavaScript by @amanhimself. Earth
 
https://twitter.com/hashtag/100DaysOfCode?src=hashSee Tweets about #100DaysOfCode on Twitter. See what people are saying and join the conversation.
",06/23/2019 11:49 a.m.,gogulaanand02,484,2019-06-23 11:49:00
106,"
:peace_symbol: @gogulaanand02
",06/23/2019 11:58 a.m.,fridarode00,31,2019-06-23 11:58:00
107,"
I think that a link to a github repository would do the job
",06/23/2019 12:22 p.m.,nicolas0dupuy,61,2019-06-23 12:22:00
108,"
I haven't seen an official announcement yet.
",06/23/2019 12:36 p.m.,cioloboc.florin,46,2019-06-23 12:36:00
109,"
@sankalpdayal5 set the channel purpose: For students who take on the #60daysofudacity challenge to post short, daily updates and encourage 2 classmates. :thinking_face:
",06/23/2019 12:38 p.m.,sankalpdayal5,170,2019-06-23 12:38:00
110,"
Ok, then... Let's give it a try... Today for #60daysofudacity , I woke up and monitored my neural network which optimized during the night and scores around 51% of accuracy on the dev set  It looks not so good, but give it a chance! The best recent score in the challenge I'm taking is 53.8%, and I got almost that score with another model, and I'm trying another strategy 
See you later for the encouragement! Because I won't encourage 2 people randomly  
",06/23/2019 12:49 p.m.,nicolas0dupuy,458,2019-06-23 12:49:00
111,"
@sadikultra has joined the channel
",06/23/2019 1:04 p.m.,sadikultra,36,2019-06-23 13:04:00
112,"
@safiul.sadi has joined the channel
",06/23/2019 1:04 p.m.,safiul.sadi,37,2019-06-23 13:04:00
113,"
@aadimator has joined the channel
",06/23/2019 1:04 p.m.,aadimator,35,2019-06-23 13:04:00
114,"
@aaditygedar has joined the channel
",06/23/2019 1:04 p.m.,aaditygedar,37,2019-06-23 13:04:00
115,"
@akgone38 has joined the channel
",06/23/2019 1:04 p.m.,akgone38,34,2019-06-23 13:04:00
116,"
@aakanksha.bc has joined the channel
",06/23/2019 1:04 p.m.,aakanksha.bc,38,2019-06-23 13:04:00
117,"
@aakanksha.singh23 has joined the channel
",06/23/2019 1:04 p.m.,aakanksha.singh23,43,2019-06-23 13:04:00
118,"
@aakash.agarwal2602 has joined the channel
",06/23/2019 1:04 p.m.,aakash.agarwal2602,44,2019-06-23 13:04:00
119,"
@thelonecoder03 has joined the channel
",06/23/2019 1:04 p.m.,thelonecoder03,40,2019-06-23 13:04:00
120,"
@aargonzalezbe has joined the channel
",06/23/2019 1:04 p.m.,aargonzalezbe,39,2019-06-23 13:04:00
121,"
@aakashsingh9901 has joined the channel
",06/23/2019 1:04 p.m.,aakashsingh9901,41,2019-06-23 13:04:00
122,"
@aakash.garg80 has joined the channel
",06/23/2019 1:04 p.m.,aakash.garg80,39,2019-06-23 13:04:00
123,"
@akshaypal2903 has joined the channel
",06/23/2019 1:04 p.m.,akshaypal2903,39,2019-06-23 13:04:00
124,"
@amirsayani726 has joined the channel
",06/23/2019 1:04 p.m.,amirsayani726,39,2019-06-23 13:04:00
125,"
@vjcool1108 has joined the channel
",06/23/2019 1:04 p.m.,vjcool1108,36,2019-06-23 13:04:00
126,"
@aarondiuz has joined the channel
",06/23/2019 1:04 p.m.,aarondiuz,35,2019-06-23 13:04:00
127,"
@aashay96 has joined the channel
",06/23/2019 1:04 p.m.,aashay96,34,2019-06-23 13:04:00
128,"
@aarushi.arora96 has joined the channel
",06/23/2019 1:04 p.m.,aarushi.arora96,41,2019-06-23 13:04:00
129,"
@ayre.laura has joined the channel
",06/23/2019 1:04 p.m.,ayre.laura,36,2019-06-23 13:04:00
130,"
@abiliyok has joined the channel
",06/23/2019 1:04 p.m.,abiliyok,34,2019-06-23 13:04:00
131,"
@jonathan.a.zea has joined the channel
",06/23/2019 1:04 p.m.,jonathan.a.zea,40,2019-06-23 13:04:00
132,"
@nichollettetaylor4 has joined the channel
",06/23/2019 1:04 p.m.,nichollettetaylor4,44,2019-06-23 13:04:00
133,"
@ptan022 has joined the channel
",06/23/2019 1:04 p.m.,ptan022,33,2019-06-23 13:04:00
134,"
@amielle.dulay has joined the channel
",06/23/2019 1:04 p.m.,amielle.dulay,39,2019-06-23 13:04:00
135,"
@hantwin has joined the channel
",06/23/2019 1:04 p.m.,hantwin,33,2019-06-23 13:04:00
136,"
@jeidsanpereira has joined the channel
",06/23/2019 1:04 p.m.,jeidsanpereira,40,2019-06-23 13:04:00
137,"
All the best, it hasn't started officially! No harm in keep working though!
",06/23/2019 1:05 p.m.,atarunn11,77,2019-06-23 13:05:00
138,"
@srishilesh has joined the channel
",06/23/2019 1:06 p.m.,srishilesh,36,2019-06-23 13:06:00
139,"
@anirudhshenoy92 has joined the channel
",06/23/2019 1:06 p.m.,anirudhshenoy92,41,2019-06-23 13:06:00
140,"
@imaayush11 has joined the channel
",06/23/2019 1:06 p.m.,imaayush11,36,2019-06-23 13:06:00
141,"
@abhikampurath has joined the channel
",06/23/2019 1:06 p.m.,abhikampurath,39,2019-06-23 13:06:00
142,"
@abrinto has joined the channel
",06/23/2019 1:06 p.m.,abrinto,33,2019-06-23 13:06:00
143,"
@anishats21 has joined the channel
",06/23/2019 1:06 p.m.,anishats21,36,2019-06-23 13:06:00
144,"
@arjun.santhoshkumar has joined the channel
",06/23/2019 1:06 p.m.,arjun.santhoshkumar,45,2019-06-23 13:06:00
145,"
@arjunsnair45 has joined the channel
",06/23/2019 1:06 p.m.,arjunsnair45,38,2019-06-23 13:06:00
146,"
@bhargav.s.s9876 has joined the channel
",06/23/2019 1:06 p.m.,bhargav.s.s9876,41,2019-06-23 13:06:00
147,"
@farazahar14 has joined the channel
",06/23/2019 1:06 p.m.,farazahar14,37,2019-06-23 13:06:00
148,"
@daibinraju3200 has joined the channel
",06/23/2019 1:06 p.m.,daibinraju3200,40,2019-06-23 13:06:00
149,"
@gossgowtham has joined the channel
",06/23/2019 1:06 p.m.,gossgowtham,37,2019-06-23 13:06:00
150,"
@christopher.daniel has joined the channel
",06/23/2019 1:06 p.m.,christopher.daniel,44,2019-06-23 13:06:00
151,"
@dheethu12 has joined the channel
",06/23/2019 1:06 p.m.,dheethu12,35,2019-06-23 13:06:00
152,"
@suryavanshi.manu has joined the channel
",06/23/2019 1:06 p.m.,suryavanshi.manu,42,2019-06-23 13:06:00
153,"
@dvalpy has joined the channel
",06/23/2019 1:06 p.m.,dvalpy,32,2019-06-23 13:06:00
154,"
@vickyskarthik has joined the channel
",06/23/2019 1:06 p.m.,vickyskarthik,39,2019-06-23 13:06:00
155,"
@d.pagowski has joined the channel
",06/23/2019 1:06 p.m.,d.pagowski,36,2019-06-23 13:06:00
156,"
@damian.suwala has joined the channel
",06/23/2019 1:06 p.m.,damian.suwala,39,2019-06-23 13:06:00
157,"
@asiajsr has joined the channel
",06/23/2019 1:06 p.m.,asiajsr,33,2019-06-23 13:06:00
158,"
@dalton.schutte has joined the channel
",06/23/2019 1:06 p.m.,dalton.schutte,40,2019-06-23 13:06:00
159,"
@mark.s.shenouda has joined the channel
",06/23/2019 1:06 p.m.,mark.s.shenouda,41,2019-06-23 13:06:00
160,"
@damu4 has joined the channel
",06/23/2019 1:06 p.m.,damu4,31,2019-06-23 13:06:00
161,"
@suparnasnr has joined the channel
",06/23/2019 1:06 p.m.,suparnasnr,36,2019-06-23 13:06:00
162,"
@namithasadeeshbabu has joined the channel
",06/23/2019 1:06 p.m.,namithasadeeshbabu,44,2019-06-23 13:06:00
163,"
@diogorodrigues0801 has joined the channel
",06/23/2019 1:06 p.m.,diogorodrigues0801,44,2019-06-23 13:06:00
164,"
@nagarajsmurthy10 has joined the channel
",06/23/2019 1:06 p.m.,nagarajsmurthy10,42,2019-06-23 13:06:00
165,"
@r.sanchezavalos has joined the channel
",06/23/2019 1:06 p.m.,r.sanchezavalos,41,2019-06-23 13:06:00
166,"
@jadhav.pritish has joined the channel
",06/23/2019 1:06 p.m.,jadhav.pritish,40,2019-06-23 13:06:00
167,"
@sri27395ram has joined the channel
",06/23/2019 1:06 p.m.,sri27395ram,37,2019-06-23 13:06:00
168,"
@sth.ronx has joined the channel
",06/23/2019 1:06 p.m.,sth.ronx,34,2019-06-23 13:06:00
169,"
@sanketh.jain98 has joined the channel
",06/23/2019 1:06 p.m.,sanketh.jain98,40,2019-06-23 13:06:00
170,"
@shreeugesh has joined the channel
",06/23/2019 1:06 p.m.,shreeugesh,36,2019-06-23 13:06:00
171,"
@damaraju.abhilash has joined the channel
",06/23/2019 1:06 p.m.,damaraju.abhilash,43,2019-06-23 13:06:00
172,"
@neiljdo.ai has joined the channel
",06/23/2019 1:06 p.m.,neiljdo.ai,36,2019-06-23 13:06:00
173,"
@alexandrebvd has joined the channel
",06/23/2019 1:06 p.m.,alexandrebvd,38,2019-06-23 13:06:00
174,"
@goutmdadhich7240 has joined the channel
",06/23/2019 1:06 p.m.,goutmdadhich7240,42,2019-06-23 13:06:00
175,"
@thegame4020 has joined the channel
",06/23/2019 1:06 p.m.,thegame4020,37,2019-06-23 13:06:00
176,"
@efectusmagnus has joined the channel
",06/23/2019 1:06 p.m.,efectusmagnus,39,2019-06-23 13:06:00
177,"
@bijitdeka23 has joined the channel
",06/23/2019 1:06 p.m.,bijitdeka23,37,2019-06-23 13:06:00
178,"
@cdabakoglu has joined the channel
",06/23/2019 1:06 p.m.,cdabakoglu,36,2019-06-23 13:06:00
179,"
Yeap! I just saw that the objectives have been set, and it motivated me 
",06/23/2019 1:11 p.m.,nicolas0dupuy,74,2019-06-23 13:11:00
180,"
I am pretty sure we all have seen a version of #100DaysOfSomething... but how it is done for different people can be very different. I already have an idea about how to do it (which may not be the same the the twitter link shows), but am really interested to know if that's the way conforming to this challenge
 
Hope more official information about this community initiative will be announced soon
 
Yeah, and remember to put a day on your post too to help us keep track...
",06/23/2019 1:18 p.m.,krisastern,476,2019-06-23 13:18:00
181,"
@krisastern Yeah! I didn't think about that  Thanks for the advice!
",06/23/2019 1:43 p.m.,nicolas0dupuy,69,2019-06-23 13:43:00
182,"
:skin-tone-2:
",06/23/2019 1:43 p.m.,krisastern,15,2019-06-23 13:43:00
183,"
Just use a code sharing platform. Like  Coding Blocks has a ide to share code. Wait I will share more in a bit
 
https://ide.codingblocks.com/
Yeah you can go here and share your code snippets in any language of your choice.
You can also use codeshare.io which enables code sharing in real time for pair programmingCoding Blocks Online IDE | Run and check your code
 
Or gists are always there.
",06/23/2019 1:47 p.m.,arunavachakrabortyami,396,2019-06-23 13:47:00
184,"
Hi all! It's almost three weeks into the challenge course. The community is going to be more and more engaged and interesting :sonic-running:with all the initiatives put forward by our fellow members most of which have started and the rest are to be by this week:charmander_dancing:. I created a *Trello board* to help us all with finding the information about these initiatives easily and make sure we don't lose track of these wonderful opportunities. I have added the available information about the initiatives from the moderator initiatives list and other links in the threads of the initiatives. Please have a look at the board and let me know your suggestions. Also, if I have missed any of the initiatives, let me know. Happy learning https://trello.com/b/0adjqXce/secure-and-private-ai-scholarship-challenge-community-events
Moderator Initiatives List:https://docs.google.com/spreadsheets/d/1yn1jknbo3D9TpC6iWg7F-NfnKTsZQqfCde__9hWOMC8/edit#gid=0Trello board to keep track of community events part of Secure and Private AI Scholarship Challenge 2019 # learn_and_help_to_learn
",06/23/2019 2:23 p.m.,nabhu123,1086,2019-06-23 14:23:00
185,"
will it be ok to share code ... people would be at differnent stages of the course...its like posting the solutions:thinking_face:
",06/23/2019 3:37 p.m.,gogulaanand02,132,2019-06-23 15:37:00
186,"
Great initiative, @nabhu123! :D
",06/23/2019 4:25 p.m.,rumanubhardwaj,33,2019-06-23 16:25:00
187,"
\\
",06/23/2019 5:04 p.m.,workwithpurpose,4,2019-06-23 17:04:00
188,"
thank you! I was looking for something like this @nabhu123
",06/23/2019 5:43 p.m.,labknr98,60,2019-06-23 17:43:00
189,"
Thank you so much @nabhu123 :clapping:
",06/23/2019 7:38 p.m.,almaari.eman,40,2019-06-23 19:38:00
190,"
If we're done with this course by the time #60daysofudacity officially begins, would it be alright to share course updates of another course as we try to maintain a 60 day streak of doing Deep Learning related things?
",06/23/2019 9:22 p.m.,rumanubhardwaj,219,2019-06-23 21:22:00
191,"
We still have more than 60 days to go..so if we start it soon enough we can do it within time limit.
",06/23/2019 9:34 p.m.,d.pandey11585,102,2019-06-23 21:34:00
192,"
Akshit had mentioned that Anything related to this course is fine
",06/23/2019 9:36 p.m.,gogulaanand02,67,2019-06-23 21:36:00
